Latitude 	Longitude
124°02.091’	40°38.047’
124°02.060’	40°38.089’
124°01.859’	40°38.177’
124°05.525’	40°37.679’
124°05.603’	40°37.702’
124°05.630’	40°37.751’
124°03.698’	40°38.026’
124°03.712’	40°38.034’
124°03.587'	40°37.858'
124°03.587’	40°37.827’
124°03.566’	40°37.831’
