40.634117,-124.03485,RIDG_01
40.636283,-124.030983,EELS_01
40.634817,-124.034333,RIDG_02
40.627983,-124.092083,SALM_01
40.628367,-124.093383,SALM_02
40.629183,-124.093833,SALM_03
40.633767,-124.061633,WORF_01
40.6339,-124.061867,WORF_02
40.630967,-124.059783,WORF_03
40.623017,-124.059433,WORF_05
40.628183,-124.070017,WOLF_01
40.62805,-124.07045,WOLF_02
40.629033,-124.064217,WOLF_03
40.628767,-124.0644,WOLF_04
40.619533,-124.08075,GOG_01
40.619117,-124.08035,GOG_02
40.61842,-124.08123,GOV_01
40.63045,-124.05995,WORF_04
