site,site_name,Sample_id,depth_category,starting_weight,digested_weight,tin_weight,sample_weight,tray_number,C_percent,N_percent,Del_C,Del_N,mg Carbon,tray_number,type,site_type
WORF,WORF_01,WORF_01C_kmd,C,1.0379,0.811,34.842,8.463,h10,1,0.1,-26.7,7.1,0.0812,1,kmd,hillslope mineral soil
RIDG,RIDG_01,RIDG_01A,A,,,34.103,9.042,a1,34.5,0.8,,-1.5,3.1202,1,raw,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01B,B,,,34.706,8.566,b1,8.9,0.3,-28.3,0.2,0.7658,1,raw,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01C,C,,,33.875,8.246,c1,3.2,0.1,-27.3,-3,0.2606,1,raw,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01D,D,,,34.684,8.289,d1,0.7,0,-27.3,-18,0.0547,1,raw,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01E,E,,,33.905,8.305,e1,1.3,0.1,-26.2,-3.8,0.1055,1,raw,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01F,F,,,34.938,8.603,f1,1.2,0,-26.4,-3,0.1024,1,raw,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01G,G,,,34.206,8.222,g1,1,0.1,-26.2,-2.9,0.0839,1,raw,ridgetop mineral soil
EELS,EELS_01,EELS_01A,A,,,34.409,8.065,g2,22.6,0.5,-29.7,-2.1,1.8259,1,raw,valley mineral soil
EELS,EELS_01,EELS_01B,B,,,33.523,8.653,h2,11.6,0.5,-28.4,-0.6,1.002,1,raw,valley mineral soil
EELS,EELS_01,EELS_01C,C,,,34.241,8.261,a3,5.3,0.4,-27.2,0.4,0.4345,1,raw,valley mineral soil
EELS,EELS_01,EELS_01D,D,,,33.989,8.367,b3,4.1,0.3,-26.7,1.3,0.3389,1,raw,valley mineral soil
EELS,EELS_01,EELS_01E,E,,,34.629,8.955,c3,2.1,0.2,-26.2,1.5,0.1881,1,raw,valley mineral soil
EELS,EELS_01,EELS_01F,F,,,34.681,8.203,d3,2,0.2,-26,2.1,0.1649,1,raw,valley mineral soil
EELS,EELS_01,EELS_01G,G,,,34.635,8.409,e3,1.7,0.1,-25.5,2.3,0.1387,1,raw,valley mineral soil
SALM,SALM_01,SALM_01A,A,,,34.978,8.012,e4,6.9,0.3,-26.6,1.5,0.5512,1,raw,ridgetop mineral soil
SALM,SALM_01,SALM_01B,B,,,34.271,8.192,f4,11.8,0.4,-26.2,0.7,0.965,1,raw,ridgetop mineral soil
SALM,SALM_01,SALM_01C,C,,,33.869,8.071,g4,6.7,0.4,-26,1.3,0.5375,1,raw,ridgetop mineral soil
SALM,SALM_01,SALM_01D,D,,,34.842,8.338,h4,4.9,0.3,-25.5,2.2,0.4094,1,raw,ridgetop mineral soil
SALM,SALM_01,SALM_01E,E,,,34.986,8.735,a5,2.6,0.2,-25.3,2.9,0.2297,1,raw,ridgetop mineral soil
SALM,SALM_01,SALM_01F,F,,,34.655,8.715,b5,4.3,0.3,-25.4,1.8,0.3704,1,raw,ridgetop mineral soil
SALM,SALM_01,SALM_01G,G,,,34.624,8.784,c5,6.8,0.3,-25.5,1.8,0.5973,1,raw,ridgetop mineral soil
WOLF,WOLF_01,WOLF_01A,A,,,34.047,8.789,c6,7.8,0.3,-27.1,0.3,0.6873,1,raw,hillslope mineral soil
WOLF,WOLF_01,WOLF_01B,B,,,33.451,8.278,d6,3.9,0.2,-26.2,1.1,0.3212,1,raw,hillslope mineral soil
WOLF,WOLF_01,WOLF_01C,C,,,34.087,18.105,e6,1.5,0.1,-25.7,3.1,0.268,1,raw,hillslope mineral soil
WOLF,WOLF_01,WOLF_01D,D,,,34.697,18.265,f6,0.9,0.1,-25.1,4.3,0.1589,1,raw,hillslope mineral soil
WOLF,WOLF_01,WOLF_01E,E,,,33.989,18.561,g6,0.7,0,-25.8,3.2,0.1299,1,raw,hillslope mineral soil
WOLF,WOLF_01,WOLF_01F,F,,,34.364,18.072,h6,0.5,0,-25.5,4.1,0.0867,1,raw,hillslope mineral soil
WOLF,WOLF_01,WOLF_01G,G,,,34.034,18.124,a7,0.7,0,-25.8,-0.1,0.1196,1,raw,hillslope mineral soil
GOG,GOG_01,GOG_01A,A,,,34.076,8.824,a8,6.7,0.3,-27.1,0.1,0.5921,1,raw,ridgetop mineral soil
GOG,GOG_01,GOG_01B,B,,,34.314,8.723,b8,5.4,0.2,-26.4,1.2,0.4676,1,raw,ridgetop mineral soil
GOG,GOG_01,GOG_01C,C,,,34.393,8.104,c8,3.4,0.2,-26.3,1.5,0.2715,1,raw,ridgetop mineral soil
GOG,GOG_01,GOG_01D,D,,,34.385,8.768,d8,2.6,0.1,-26.1,2,0.228,1,raw,ridgetop mineral soil
GOG,GOG_01,GOG_01E,E,,,34.261,8.369,e8,1.2,0.1,-25.5,2.8,0.1013,1,raw,ridgetop mineral soil
GOG,GOG_01,GOG_01F,F,,,34.268,8.754,f8,1.2,0.1,-26.2,1.8,0.1077,1,raw,ridgetop mineral soil
GOG,GOG_01,GOG_01G,G,,,34.567,3.327,g8,1.9,0.1,-25.3,-0.7,0.0635,1,raw,ridgetop mineral soil
WORF,WORF_01,WORF_01A,A,,,34.395,8.574,g9,9.6,0.3,-28,-1.1,0.8214,1,raw,hillslope mineral soil
WORF,WORF_01,WORF_01B,B,,,34.723,8.278,h9,5.2,0.2,-27.5,-0.8,0.4296,1,raw,hillslope mineral soil
WORF,WORF_01,WORF_01C,C,,,33.901,8.028,a10,4.7,0.1,-26.8,0.3,0.3765,1,raw,hillslope mineral soil
WORF,WORF_01,WORF_01D,D,,,33.922,8.079,b10,4,0.1,-27.3,-0.7,0.324,1,raw,hillslope mineral soil
