Site_id,depth_category,depth,kmd_dry_weight ,mass_2,mass_0.5,total_mass,total_mass_mg,mgC_g
WOLF_03,A,0-50,35.0342,0.3296,0.0991,0.4287,428.7,12.23661451
WOLF_03,B,50-100,65.0315,0.5449,0.1483,0.6932,693.2,10.65944965
WOLF_03,C,100-150,87.2521,0.8426,0.2208,1.0634,1063.4,12.18767227
WOLF_03,D,150-200,84.2555,0.0631,,0.0631,63.1,0.748912534
WOLF_03,E,200-250,90.8449,0,0.0612,0.0612,61.2,0.673675682
WOLF_03,F,250-300,91.3412,0,0.1476,0.1476,147.6,1.615919213
WOLF_03,G,bottom,53.5678,0,0.0729,0.0729,72.9,1.360892178
WOLF_04,A,0-50,22.5316,0.3691,0.1682,0.5373,537.3,23.8465089
WOLF_04,B,50-100,69.1434,0.7485,0.414,1.1625,1162.5,16.81288453
WOLF_04,C,100-150,85.8716,0,0.1306,0.1306,130.6,1.520875353
WOLF_04,D,150-200,76.9282,0,0,0,0,0
WOLF_04,E,200-250,79.6689,0,0.0241,0.0241,24.1,0.30250198
WOLF_04,F,250-300,85.5099,0,0.0252,0.0252,25.2,0.294702719
WOLF_04,G,bottom,55.8424,0.0043,0.0039,0.0082,8.2,0.146841826
GOG_01,A,0-50,20.973,0.0919,0.094,0.1859,185.9,8.863777237
GOG_01,B,50-100,60.5788,0.0315,0.2204,0.2519,251.9,4.158220368
GOG_01,C,100-150,79.697,0.0626,0.214,0.2766,276.6,3.470645068
GOG_01,D,150-200,82.8156,0.0851,0.3216,0.4067,406.7,4.910910505
GOG_01,E,200-250,87.1846,0,0.0926,0.0926,92.6,1.062114181
GOG_01,F,250-300,88.7136,0,0.0213,0.0213,21.3,0.240098474
GOG_01,G,bottom,71.5088,0,0.0001,0.0001,0.1,0.001398429
GOG_02,A,0-50,72.5043,0.005,0.0022,0.0072,7.2,0.099304455
GOG_02,B,50-100,74.4314,0.0966,0.2124,0.309,309,4.151473706
GOG_02,C,100-150,82.5723,0.0017,0.328,0.3297,329.7,3.992864435
GOG_02,D,150-200,86.5718,0.0001,0.53,0.5301,530.1,6.123241055
GOG_02,E,200-250,83.705,0,0,0,0,0
GOG_02,F,250-300,85.6797,0,0.0123,0.0123,12.3,0.143557926
GOG_02,G,bottom,80.8026,0,0,0,0,0
