WOLF,-3614,35
SALM,-639,19
EELS,-285,7
SALM,-253,13
WOMT,-174,13
WORM,-173,98
WORF,-166,17
GOG,61,12
WOMT,125,14
SCT,562,4
RIDG,1451,9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
